0,2022-06-22T11:44:09-07:00[America/Los_Angeles],0,0,0," ","OddNumbersFixedItems+ "," ","ConcurrentOddCallsThreadJoin ConcurrentOddCallsThreadStart ConcurrentOddInstantiatesThread ConcurrentOddInstantiatesWorker ConcurrentOddMainCallsParseInt ConcurrentOddMainCallsPrintProperty ConcurrentOddMainCallsPrintln ConcurrentOddMainCallsThreadJoin ConcurrentOddMainCallsThreadStart ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart ConcurrentPrimeCallsThreadJoin ConcurrentPrimeCallsThreadStart ConcurrentPrimeInstantiatesThread ConcurrentPrimeInstantiatesWorker ConcurrentPrimeMainCallsParseInt ConcurrentPrimeMainCallsPrintProperty ConcurrentPrimeMainCallsPrintln ConcurrentPrimeMainCallsThreadJoin ConcurrentPrimeMainCallsThreadStart MnemonicNameRatioTestCase NamedConstantsRatioCheck OddWorkerISARunnable OddWorkerRunCallsPrintProperty PIExecutionFixedIterations PIWorkerISARunnable PIWorkerRunCallsPrintProperty PrimeWorkerISARunnable PrimeWorkerRunCallsPrintProperty PrimesExecutionFixedItems ",0,0,true,"OddNumbersFixedItems "," "," ","OddNumbersFixedItems-(2.0/10.0) "," "," "
11,2022-06-22T12:42:16-07:00[America/Los_Angeles],0,0,0," ","OddNumbersFixedItems ","MnemonicNameRatioTestCase NamedConstantsRatioCheck ","ConcurrentOddCallsThreadJoin ConcurrentOddCallsThreadStart ConcurrentOddInstantiatesThread ConcurrentOddInstantiatesWorker ConcurrentOddMainCallsParseInt ConcurrentOddMainCallsPrintProperty ConcurrentOddMainCallsPrintln ConcurrentOddMainCallsThreadJoin ConcurrentOddMainCallsThreadStart ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart ConcurrentPrimeCallsThreadJoin ConcurrentPrimeCallsThreadStart ConcurrentPrimeInstantiatesThread ConcurrentPrimeInstantiatesWorker ConcurrentPrimeMainCallsParseInt ConcurrentPrimeMainCallsPrintProperty ConcurrentPrimeMainCallsPrintln ConcurrentPrimeMainCallsThreadJoin ConcurrentPrimeMainCallsThreadStart OddWorkerISARunnable OddWorkerRunCallsPrintProperty PIExecutionFixedIterations PIWorkerISARunnable PIWorkerRunCallsPrintProperty PrimeWorkerISARunnable PrimeWorkerRunCallsPrintProperty PrimesExecutionFixedItems ",3,0,true,"MnemonicNameRatioTestCase NamedConstantsRatioCheck "," "," ","MnemonicNameRatioTestCase-(0.0/5.0) NamedConstantsRatioCheck-(0.0/5.0) "," "," "
12,2022-06-22T12:42:17-07:00[America/Los_Angeles],0,0,0," ","OddNumbersFixedItems ","MnemonicNameRatioTestCase NamedConstantsRatioCheck ","ConcurrentOddCallsThreadJoin ConcurrentOddCallsThreadStart ConcurrentOddInstantiatesThread ConcurrentOddInstantiatesWorker ConcurrentOddMainCallsParseInt ConcurrentOddMainCallsPrintProperty ConcurrentOddMainCallsPrintln ConcurrentOddMainCallsThreadJoin ConcurrentOddMainCallsThreadStart ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart ConcurrentPrimeCallsThreadJoin ConcurrentPrimeCallsThreadStart ConcurrentPrimeInstantiatesThread ConcurrentPrimeInstantiatesWorker ConcurrentPrimeMainCallsParseInt ConcurrentPrimeMainCallsPrintProperty ConcurrentPrimeMainCallsPrintln ConcurrentPrimeMainCallsThreadJoin ConcurrentPrimeMainCallsThreadStart OddWorkerISARunnable OddWorkerRunCallsPrintProperty PIExecutionFixedIterations PIWorkerISARunnable PIWorkerRunCallsPrintProperty PrimeWorkerISARunnable PrimeWorkerRunCallsPrintProperty PrimesExecutionFixedItems ",3,1,true,"MnemonicNameRatioTestCase NamedConstantsRatioCheck "," "," ","MnemonicNameRatioTestCase-(0.0/5.0) NamedConstantsRatioCheck-(0.0/5.0) "," "," "
13,2022-06-22T12:42:32-07:00[America/Los_Angeles],0,0,0," ","OddNumbersFixedItems ","MnemonicNameRatioTestCase NamedConstantsRatioCheck ","ConcurrentOddCallsThreadJoin ConcurrentOddCallsThreadStart ConcurrentOddInstantiatesThread ConcurrentOddInstantiatesWorker ConcurrentOddMainCallsParseInt ConcurrentOddMainCallsPrintProperty ConcurrentOddMainCallsPrintln ConcurrentOddMainCallsThreadJoin ConcurrentOddMainCallsThreadStart ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart ConcurrentPrimeCallsThreadJoin ConcurrentPrimeCallsThreadStart ConcurrentPrimeInstantiatesThread ConcurrentPrimeInstantiatesWorker ConcurrentPrimeMainCallsParseInt ConcurrentPrimeMainCallsPrintProperty ConcurrentPrimeMainCallsPrintln ConcurrentPrimeMainCallsThreadJoin ConcurrentPrimeMainCallsThreadStart OddWorkerISARunnable OddWorkerRunCallsPrintProperty PIExecutionFixedIterations PIWorkerISARunnable PIWorkerRunCallsPrintProperty PrimeWorkerISARunnable PrimeWorkerRunCallsPrintProperty PrimesExecutionFixedItems ",3,2,false," "," "," ","NamedConstantsRatioCheck-(0.0/5.0) "," "," "
14,2022-06-22T12:46:28-07:00[America/Los_Angeles],0,0,0," ","OddNumbersFixedItems ","ConcurrentPIMainCallsPrintln+ MnemonicNameRatioTestCase NamedConstantsRatioCheck ","ConcurrentOddCallsThreadJoin ConcurrentOddCallsThreadStart ConcurrentOddInstantiatesThread ConcurrentOddInstantiatesWorker ConcurrentOddMainCallsParseInt ConcurrentOddMainCallsPrintProperty ConcurrentOddMainCallsPrintln ConcurrentOddMainCallsThreadJoin ConcurrentOddMainCallsThreadStart ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart ConcurrentPrimeCallsThreadJoin ConcurrentPrimeCallsThreadStart ConcurrentPrimeInstantiatesThread ConcurrentPrimeInstantiatesWorker ConcurrentPrimeMainCallsParseInt ConcurrentPrimeMainCallsPrintProperty ConcurrentPrimeMainCallsPrintln ConcurrentPrimeMainCallsThreadJoin ConcurrentPrimeMainCallsThreadStart OddWorkerISARunnable OddWorkerRunCallsPrintProperty PIExecutionFixedIterations PIWorkerISARunnable PIWorkerRunCallsPrintProperty PrimeWorkerISARunnable PrimeWorkerRunCallsPrintProperty PrimesExecutionFixedItems ",3,3,false," "," "," ","ConcurrentPIMainCallsPrintln-(0.0/0.9090909090909091) "," "," "
15,2022-06-22T12:47:14-07:00[America/Los_Angeles],0,0,0," ","OddNumbersFixedItems ","ConcurrentPICallsThreadJoin+ ConcurrentPICallsThreadStart+ ConcurrentPIInstantiatesThread+ ConcurrentPIInstantiatesWorker+ ConcurrentPIMainCallsParseInt+ ConcurrentPIMainCallsPrintProperty+ ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin+ ConcurrentPIMainCallsThreadStart+ MnemonicNameRatioTestCase NamedConstantsRatioCheck PIWorkerISARunnable+ PIWorkerRunCallsPrintProperty+ ","ConcurrentOddCallsThreadJoin ConcurrentOddCallsThreadStart ConcurrentOddInstantiatesThread ConcurrentOddInstantiatesWorker ConcurrentOddMainCallsParseInt ConcurrentOddMainCallsPrintProperty ConcurrentOddMainCallsPrintln ConcurrentOddMainCallsThreadJoin ConcurrentOddMainCallsThreadStart ConcurrentPrimeCallsThreadJoin ConcurrentPrimeCallsThreadStart ConcurrentPrimeInstantiatesThread ConcurrentPrimeInstantiatesWorker ConcurrentPrimeMainCallsParseInt ConcurrentPrimeMainCallsPrintProperty ConcurrentPrimeMainCallsPrintln ConcurrentPrimeMainCallsThreadJoin ConcurrentPrimeMainCallsThreadStart OddWorkerISARunnable OddWorkerRunCallsPrintProperty PIExecutionFixedIterations PrimeWorkerISARunnable PrimeWorkerRunCallsPrintProperty PrimesExecutionFixedItems ",4,0,true,"ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart PIWorkerISARunnable PIWorkerRunCallsPrintProperty "," "," ","ConcurrentPICallsThreadJoin-(0.0/0.9090909090909091) ConcurrentPICallsThreadStart-(0.0/0.9090909090909091) ConcurrentPIInstantiatesThread-(0.0/0.9090909090909091) ConcurrentPIInstantiatesWorker-(0.0/0.9090909090909091) ConcurrentPIMainCallsParseInt-(0.0/0.9090909090909091) ConcurrentPIMainCallsPrintProperty-(0.0/0.9090909090909091) ConcurrentPIMainCallsPrintln-(0.0/0.9090909090909091) ConcurrentPIMainCallsThreadJoin-(0.0/0.9090909090909091) ConcurrentPIMainCallsThreadStart-(0.0/0.9090909090909091) PIWorkerISARunnable-(0.0/0.9090909090909091) PIWorkerRunCallsPrintProperty-(0.0/0.9090909090909091) "," "," "
16,2022-06-22T12:47:16-07:00[America/Los_Angeles],0,0,0," ","OddNumbersFixedItems ","ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart MnemonicNameRatioTestCase NamedConstantsRatioCheck PIWorkerISARunnable PIWorkerRunCallsPrintProperty ","ConcurrentOddCallsThreadJoin ConcurrentOddCallsThreadStart ConcurrentOddInstantiatesThread ConcurrentOddInstantiatesWorker ConcurrentOddMainCallsParseInt ConcurrentOddMainCallsPrintProperty ConcurrentOddMainCallsPrintln ConcurrentOddMainCallsThreadJoin ConcurrentOddMainCallsThreadStart ConcurrentPrimeCallsThreadJoin ConcurrentPrimeCallsThreadStart ConcurrentPrimeInstantiatesThread ConcurrentPrimeInstantiatesWorker ConcurrentPrimeMainCallsParseInt ConcurrentPrimeMainCallsPrintProperty ConcurrentPrimeMainCallsPrintln ConcurrentPrimeMainCallsThreadJoin ConcurrentPrimeMainCallsThreadStart OddWorkerISARunnable OddWorkerRunCallsPrintProperty PIExecutionFixedIterations PrimeWorkerISARunnable PrimeWorkerRunCallsPrintProperty PrimesExecutionFixedItems ",4,1,true,"ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart PIWorkerISARunnable PIWorkerRunCallsPrintProperty "," "," ","ConcurrentPICallsThreadJoin-(0.0/0.9090909090909091) ConcurrentPICallsThreadStart-(0.0/0.9090909090909091) ConcurrentPIInstantiatesThread-(0.0/0.9090909090909091) ConcurrentPIInstantiatesWorker-(0.0/0.9090909090909091) ConcurrentPIMainCallsParseInt-(0.0/0.9090909090909091) ConcurrentPIMainCallsPrintProperty-(0.0/0.9090909090909091) ConcurrentPIMainCallsPrintln-(0.0/0.9090909090909091) ConcurrentPIMainCallsThreadJoin-(0.0/0.9090909090909091) ConcurrentPIMainCallsThreadStart-(0.0/0.9090909090909091) PIWorkerISARunnable-(0.0/0.9090909090909091) PIWorkerRunCallsPrintProperty-(0.0/0.9090909090909091) "," "," "
17,2022-06-22T12:47:21-07:00[America/Los_Angeles],0,0,0," ","OddNumbersFixedItems ","ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart MnemonicNameRatioTestCase NamedConstantsRatioCheck PIWorkerISARunnable PIWorkerRunCallsPrintProperty ","ConcurrentOddCallsThreadJoin ConcurrentOddCallsThreadStart ConcurrentOddInstantiatesThread ConcurrentOddInstantiatesWorker ConcurrentOddMainCallsParseInt ConcurrentOddMainCallsPrintProperty ConcurrentOddMainCallsPrintln ConcurrentOddMainCallsThreadJoin ConcurrentOddMainCallsThreadStart ConcurrentPrimeCallsThreadJoin ConcurrentPrimeCallsThreadStart ConcurrentPrimeInstantiatesThread ConcurrentPrimeInstantiatesWorker ConcurrentPrimeMainCallsParseInt ConcurrentPrimeMainCallsPrintProperty ConcurrentPrimeMainCallsPrintln ConcurrentPrimeMainCallsThreadJoin ConcurrentPrimeMainCallsThreadStart OddWorkerISARunnable OddWorkerRunCallsPrintProperty PIExecutionFixedIterations PrimeWorkerISARunnable PrimeWorkerRunCallsPrintProperty PrimesExecutionFixedItems ",4,2,false," "," "," ","ConcurrentPIMainCallsPrintln-(0.0/0.9090909090909091) "," "," "
18,2022-06-22T13:18:11-07:00[America/Los_Angeles],0,0,0," ","OddNumbersFixedItems ","ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart ConcurrentPrimeCallsThreadJoin+ ConcurrentPrimeCallsThreadStart+ ConcurrentPrimeInstantiatesThread+ ConcurrentPrimeInstantiatesWorker+ ConcurrentPrimeMainCallsParseInt+ ConcurrentPrimeMainCallsPrintProperty+ ConcurrentPrimeMainCallsPrintln+ ConcurrentPrimeMainCallsThreadJoin+ ConcurrentPrimeMainCallsThreadStart+ MnemonicNameRatioTestCase NamedConstantsRatioCheck PIWorkerISARunnable PIWorkerRunCallsPrintProperty PrimeWorkerISARunnable+ PrimeWorkerRunCallsPrintProperty+ ","ConcurrentOddCallsThreadJoin ConcurrentOddCallsThreadStart ConcurrentOddInstantiatesThread ConcurrentOddInstantiatesWorker ConcurrentOddMainCallsParseInt ConcurrentOddMainCallsPrintProperty ConcurrentOddMainCallsPrintln ConcurrentOddMainCallsThreadJoin ConcurrentOddMainCallsThreadStart OddWorkerISARunnable OddWorkerRunCallsPrintProperty PIExecutionFixedIterations PrimesExecutionFixedItems ",5,0,true,"ConcurrentPrimeCallsThreadJoin ConcurrentPrimeCallsThreadStart ConcurrentPrimeInstantiatesThread ConcurrentPrimeInstantiatesWorker ConcurrentPrimeMainCallsParseInt ConcurrentPrimeMainCallsPrintProperty ConcurrentPrimeMainCallsPrintln ConcurrentPrimeMainCallsThreadJoin ConcurrentPrimeMainCallsThreadStart PrimeWorkerISARunnable PrimeWorkerRunCallsPrintProperty "," "," ","ConcurrentPrimeCallsThreadJoin-(0.0/0.9090909090909091) ConcurrentPrimeCallsThreadStart-(0.0/0.9090909090909091) ConcurrentPrimeInstantiatesThread-(0.0/0.9090909090909091) ConcurrentPrimeInstantiatesWorker-(0.0/0.9090909090909091) ConcurrentPrimeMainCallsParseInt-(0.0/0.9090909090909091) ConcurrentPrimeMainCallsPrintProperty-(0.0/0.9090909090909091) ConcurrentPrimeMainCallsPrintln-(0.0/0.9090909090909091) ConcurrentPrimeMainCallsThreadJoin-(0.0/0.9090909090909091) ConcurrentPrimeMainCallsThreadStart-(0.0/0.9090909090909091) PrimeWorkerISARunnable-(0.0/0.9090909090909091) PrimeWorkerRunCallsPrintProperty-(0.0/0.9090909090909091) "," "," "
20,2022-06-22T13:34:11-07:00[America/Los_Angeles],2,0,2,"OddNumbersFixedItems "," ","ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart ConcurrentPrimeCallsThreadJoin ConcurrentPrimeCallsThreadStart ConcurrentPrimeInstantiatesThread ConcurrentPrimeInstantiatesWorker ConcurrentPrimeMainCallsParseInt ConcurrentPrimeMainCallsPrintProperty ConcurrentPrimeMainCallsPrintln ConcurrentPrimeMainCallsThreadJoin ConcurrentPrimeMainCallsThreadStart MnemonicNameRatioTestCase NamedConstantsRatioCheck PIWorkerISARunnable PIWorkerRunCallsPrintProperty PrimeWorkerISARunnable PrimeWorkerRunCallsPrintProperty ","ConcurrentOddCallsThreadJoin ConcurrentOddCallsThreadStart ConcurrentOddInstantiatesThread ConcurrentOddInstantiatesWorker ConcurrentOddMainCallsParseInt ConcurrentOddMainCallsPrintProperty ConcurrentOddMainCallsPrintln ConcurrentOddMainCallsThreadJoin ConcurrentOddMainCallsThreadStart OddWorkerISARunnable OddWorkerRunCallsPrintProperty PIExecutionFixedIterations PrimesExecutionFixedItems ",6,1,true,"OddNumbersFixedItems "," "," ","OddNumbersFixedItems-(10.0/10.0) "," "," "
21,2022-06-22T13:34:28-07:00[America/Los_Angeles],2,0,2,"OddNumbersFixedItems "," ","ConcurrentPICallsThreadJoin ConcurrentPICallsThreadStart ConcurrentPIInstantiatesThread ConcurrentPIInstantiatesWorker ConcurrentPIMainCallsParseInt ConcurrentPIMainCallsPrintProperty ConcurrentPIMainCallsPrintln ConcurrentPIMainCallsThreadJoin ConcurrentPIMainCallsThreadStart ConcurrentPrimeCallsThreadJoin ConcurrentPrimeCallsThreadStart ConcurrentPrimeInstantiatesThread ConcurrentPrimeInstantiatesWorker ConcurrentPrimeMainCallsParseInt ConcurrentPrimeMainCallsPrintProperty ConcurrentPrimeMainCallsPrintln ConcurrentPrimeMainCallsThreadJoin ConcurrentPrimeMainCallsThreadStart MnemonicNameRatioTestCase NamedConstantsRatioCheck PIWorkerISARunnable PIWorkerRunCallsPrintProperty PrimeWorkerISARunnable PrimeWorkerRunCallsPrintProperty ","ConcurrentOddCallsThreadJoin ConcurrentOddCallsThreadStart ConcurrentOddInstantiatesThread ConcurrentOddInstantiatesWorker ConcurrentOddMainCallsParseInt ConcurrentOddMainCallsPrintProperty ConcurrentOddMainCallsPrintln ConcurrentOddMainCallsThreadJoin ConcurrentOddMainCallsThreadStart OddWorkerISARunnable OddWorkerRunCallsPrintProperty PIExecutionFixedIterations PrimesExecutionFixedItems ",6,2,false," "," "," ","OddNumbersFixedItems-(10.0/10.0) "," "," "
